created_at,full_text,favorite_count,retweet_count
2018-09-01,No Deal! Trade Talks with Canada Conclude for the Week with No Agreement | Breitbart https://t.co/87vi7OqopY via @BreitbartNews,48975,11949
2018-09-09,"“Barack Obama talked a lot about hope, but Donald Trump delivered the American Dream. All the economic indicators, what’s happening overseas, Donald Trump has proven to be far more successful than Barack Obama. President Trump is delivering the American Dream.” Jason Chaffetz",93356,24707
2018-09-09,Happy Anniversary! #ProudDeplorable https://t.co/iHyeu5a8DD,86349,27380
2018-09-08,"So nice, thank you both! https://t.co/IAskDJIILo",84750,19594
2018-09-08,"The Dems have tried every trick in the playbook-call me everything under the sun. But if I’m all of those terrible things, how come I beat them so badly, 306-223? Maybe they’re just not very good! The fact is they are going CRAZY only because they know they can’t beat me in 2020!",123888,29501
2018-09-08,"Republicans are doing really well with the Senate Midterms. Races that we were not even thinking about winning are now very close, or even leading. Election night will be very interesting indeed!",92829,21212
2018-09-08,"Our Social Media (and beyond) Stars, @DiamondandSilk, are terrific people who are doing really well. We are all very proud of them, and their great success!",86598,19237
2018-09-08,"So true! “Mr. Trump remains the single most popular figure in the Republican Party, whose fealty has helped buoy candidates in competitive Republican primaries and remains a hot commodity among general election candidates.”  Nicholas Fandos, @nytimes",72758,16202
2018-09-08,"Apple prices may increase because of the massive Tariffs we may be imposing on China - but there is an easy solution where there would be ZERO tax, and indeed a tax incentive. Make your products in the United States instead of China. Start building new plants now. Exciting! #MAGA",111571,28124
2018-09-08,"We are breaking all Jobs and Economic Records but, importantly, our Country has TREMENDOUS FUTURE POTENTIAL. We have just begun!",102385,24366
2018-09-08,"“To this point, President Trump’s achievements are unprecedented.”  @LouDobbs",67778,15362
2018-09-08,"Dave Hughes is running for Congress in the Great State of Minnesota. He will help us accomplish our America First policies, is strong on Crime, the Border, our 2nd Amendmen, Trade, Military and Vets. Running against Pelosi Liberal Puppet Petterson. Dave has my Total Endorsement!",62758,16009
2018-09-07,"14 days for $28 MILLION - $2 MILLION a day, No Collusion. A great day for America!",86620,21052
2018-09-07,“Unprecedented Jobs Growth Streak Continues as Wages Rise” https://t.co/Mk0WSyjdOe,56069,14668
2018-09-07,"Under our horrible immigration laws, the Government is frequently blocked from deporting criminal aliens with violent felony convictions. House GOP just passed a bill to increase our ability to deport violent felons (Crazy Dems opposed). Need to get this bill to my desk fast!",111882,30184
2018-09-07,The Woodward book is a scam. I don’t talk the way I am quoted. If I did I would not have been elected President. These quotes were made up. The author uses every trick in the book to demean and belittle. I wish the people could see the real facts - and our country is doing GREAT!,125962,29179
2018-09-07,"Matt Rosendale will be a Great Senator from a Great State, Montana! He is a fighter who will be tough on Crime and the Border, fight hard for our 2nd Amendment and loves our Military and our Vets. He has my full and complete Endorsement!",67938,15906
2018-09-07,What was Nike thinking?,151196,30042
2018-09-06,"Thank you Montana, I love you! https://t.co/9J4Xv2PoNw",75956,16069
2018-09-06,MAKE AMERICA GREAT AGAIN! https://t.co/RPOYiqsHHH,67577,17382
2018-09-06,"Getting ready to go on stage for Matt Rosendale, who will be a great Senator. Jon Tester has let the people of Montana down &amp; does not deserve another six years. Matt is strong on Crime, the Borders, &amp; will save your Second Amendment from the onslaught. Loves our Military &amp; Vets!",75159,16355
2018-09-06,Landing in Montana now to support Matt Rosendale for U.S. Senate! #MAGA https://t.co/0MIEyWxMbW,52356,11041
2018-09-06,Are the investigative “journalists” of the New York Times going to investigate themselves - who is the anonymous letter writer?,85921,18800
2018-09-06,Look forward to seeing everyone in Montana tonight! #MAGA https://t.co/fyHduA2Peo,56156,13232
2018-09-06,"“The record is quite remarkable. The President has faithfully followed the agenda he campaigned on in 2016. People should focus on the results, and they’re extraordinary!”  James Freeman - Wall Street Journal",97192,25234
2018-09-06,"Cosumer confidence highest in 18 years, Atlanta Fed forecasts 4.7 GDP, manufacturing jobs highest in many years. “It’s the story of the Trump Administration, the Economic Success, that’s unnerving his detractors.” @MariaBartiromo",76412,19090
2018-09-06,"The Deep State and the Left, and their vehicle, the Fake News Media, are going Crazy - &amp; they don’t know what to do. The Economy is booming like never before, Jobs are at Historic Highs, soon TWO Supreme Court Justices &amp; maybe Declassification to find Additional Corruption. Wow!",128952,36365
2018-09-06,Kim Jong Un of North Korea proclaims “unwavering faith in President Trump.” Thank you to Chairman Kim. We will get it done together!,110356,26141
2018-09-05,"I’m draining the Swamp, and the Swamp is trying to fight back. Don’t worry, we will win!",202377,52753
2018-09-05,"Does the so-called “Senior Administration Official” really exist, or is it just the Failing New York Times with another phony source? If the GUTLESS anonymous person does indeed exist, the Times must, for National Security purposes, turn him/her over to government at once!",120273,31905
2018-09-05,TREASON?,121131,33981
2018-09-05,The Failing New York Times! https://t.co/SHsXvYKpBf,87987,25493
2018-09-05,"Today, it was my honor to welcome the Amir of Kuwait to the @WhiteHouse! https://t.co/b5iqsajpOj https://t.co/8wtucJrtEl",49752,12194
2018-09-05,"Join me tomorrow night at 7:00pm MDT in Billings, Montana for a MAKE AMERICA GREAT AGAIN RALLY! Get your tickets here: https://t.co/fyHduA2Peo",55469,14923
2018-09-05,"Thank you General Mattis, book is boring &amp; untrue! https://t.co/Bq79ZjF3Dk",62157,15418
2018-09-05,"Thank you General Kelly, book is total fiction! https://t.co/J5iUONhRin",58693,14790
2018-09-05,"Just like the NFL, whose ratings have gone WAY DOWN, Nike is getting absolutely killed with anger and boycotts. I wonder if they had any idea that it would be this way? As far as the NFL is concerned, I just find it hard to watch, and always will, until they stand for the FLAG!",120862,27543
2018-09-05,The Trump Economy is booming with help of House and Senate GOP. #FarmBill with SNAP work  requirements will bolster farmers and get America back to work. Pass the Farm Bill with SNAP work requirements!,60137,13986
2018-09-05,"Almost everyone agrees that my Administration has done more in less than two years than any other Administration in the history of our Country. I’m tough as hell on people &amp; if I weren’t, nothing would get done. Also, I question everybody &amp; everything-which is why I got elected!",118302,28838
2018-07-04,"Happy Birthday, America! https://t.co/SIi6xXsfof",183488,32959
2018-08-18,Great Job  Rachel Campos-Duffy on @foxandfriends.,48439,8570
2018-09-05,"Isn’t it a shame that someone can write an article or book, totally make up stories and form a picture of a person that is literally the exact opposite of the fact, and get away with it without retribution or cost. Don’t know why Washington politicians don’t change libel laws?",114749,25540
2018-09-04,“Secretary Mattis Nukes Woodward Allegations” https://t.co/H5bPjsVXNb,53025,14591
2018-09-04,Jim Mattis Calls Woodward Book 'Fiction': 'Product of Someone's Rich Imagination' https://t.co/HGMDiH98nx via @BreitbartNews,46676,12262
2018-09-04,"The already discredited Woodward book, so many lies and phony sources, has me calling Jeff Sessions “mentally retarded” and “a dumb southerner.” I said NEITHER, never used those terms on anyone, including Jeff, and being a southerner is a GREAT thing. He made this up to divide!",87174,22076
2018-09-04,"Sleepy Eyes Chuck Todd of Fake NBC News said it’s time for the Press to stop complaining and to start fighting back. Actually Chuck, they’ve been doing that from the day I announced for President. They’ve gone all out, and I WON, and now they’re going CRAZY!",107529,26151
2018-09-04,"The Woodward book has already been refuted and discredited by General (Secretary of Defense) James Mattis and General (Chief of Staff) John Kelly. Their quotes were made up frauds, a con on the public. Likewise other stories and quotes. Woodward is a Dem operative? Notice timing?",83811,23493
2018-09-04,"Statement from White House @PressSec, Sarah Sanders: https://t.co/mE73HSi6Rl",56144,15809
2018-09-04,"Statement from White House Chief of Staff, General John Kelly: https://t.co/LUN8cDr3N5",66547,20316
2018-09-04,"Statement from Secretary of Defense, James Mattis: https://t.co/OneaxKCneV",67879,21551
2018-09-04,“Judge Brett Kavanaugh is an Exceptionally Qualified and Deserving Nominee for the Supreme Court” https://t.co/nD5XZo9yIm,58872,15183
2018-09-04,"Paul Cook is a decorated Marine Corps Veteran who loves and supports our Military and Vets. He is Strong on Crime, the Border, and supported Tax Cuts for the people of California. Paul has my total and complete Endorsement!",64491,16062
2018-09-04,“Pledge to America’s Workers” https://t.co/wbGZU6oi9G,42975,10318
2018-09-04,....looking to inflict pain and embarrassment to one of the most highly renowned jurists to ever appear before Congress. So sad to see!,66592,15491
2018-09-04,"The Brett Kavanaugh hearings for the future Justice of the Supreme Court are truly a display of how mean, angry, and despicable the other side is. They will say anything, and are only....",90520,21966
2018-09-04,"Jon Kyl will be an extraordinary Senator representing an extraordinary state, Arizona. I look forward to working with him!",58447,12604
2018-09-04,Everyone in the path of #Gordon please heed the advice of State and local officials and follow @NHC_Atlantic for updates. The Federal Government stands ready to assist. Be safe! https://t.co/sJiL4wnQID,46425,11465
2018-09-04,"NBC FAKE NEWS, which is under intense scrutiny over their killing the Harvey Weinstein story, is now fumbling around making excuses for their probably highly unethical conduct. I have long criticized NBC and their journalistic standards-worse than even CNN. Look at their license?",104420,25964
2018-09-03,President Bashar al-Assad of Syria must not recklessly attack Idlib Province. The Russians and Iranians would be making a grave humanitarian mistake to take part in this potential human tragedy. Hundreds of thousands of people could be killed. Don’t let that happen!,88423,22820
2018-09-03,"According to the Failing New York Times, the FBI started a major effort to flip Putin loyalists in 2014-2016. “It wasn’t about Trump, he wasn’t even close to a candidate yet.”  Rigged Witch Hunt!",72608,18697
2018-09-03,"I see that John Kerry, the father of the now terminated Iran deal, is thinking of running for President. I should only be so lucky - although the field that is currently assembling looks really good - FOR ME!",111116,25243
2018-09-03,"....The Democrats, none of whom voted for Jeff Sessions, must love him now. Same thing with Lyin’ James Comey. The Dems all hated him, wanted him out, thought he was disgusting - UNTIL I FIRED HIM! Immediately he became a wonderful man, a saint like figure in fact. Really sick!",100043,23820
2018-09-03,"Two long running, Obama era, investigations of  two very popular Republican Congressmen were brought to a well publicized charge, just ahead of the Mid-Terms, by the Jeff Sessions Justice Department. Two easy wins now in doubt because there is not enough time. Good job Jeff......",79146,20062
2018-09-03,The U.S. is respected again! https://t.co/NtQ4vsoqnk,67763,15052
2018-09-03,"Richard Trumka, the head of the AFL-CIO, represented his union poorly on television this weekend. Some of the things he said were so against the working men and women of our country, and the success of the U.S. itself, that it is easy to see why unions are doing so poorly. A Dem!",63511,15431
2018-09-03,The Worker in America is doing better than ever before. Celebrate Labor Day!,93643,19755
2018-09-03,Happy Labor Day! Our country is doing better than ever before with unemployment setting record lows. The U.S. has tremendous upside potential as we go about fixing some of the worst Trade Deals ever made by any country in the world. Big progress being made!,124634,27878
2018-09-02,"....The fact is that African/American unemployment is now the lowest in the history of our country. Same with Asian, Hispanic and almost every other group. The Democrats have been all talk and no action. My Administration has already produced like no other, and everyone sees it!",137655,32515
2018-09-02,"Tiger Woods showed great class in the way he answered the question about the Office of the Presidency and me. Now they say the so-called “left” is angry at him. So sad, but the “center &amp; right” loves Tiger, Kanye, George Foreman, Jim Brown &amp; so many other greats, even more.......",125207,26396
2018-09-01,"“There is no possible way the Trump Tower meeting between Don Trump jr and a couple of Russians, who have very deep connections to both the Clintons &amp; Fusion GPS, &amp; where no information on the Clintons was exchanged, is a crime. Dems are blinded by their hatred of Trump.” Bongino",95746,23142
2018-09-01,"“No information was ever given by the Trump Team to Russia, yet the Hillary Clinton campaign paid for information from Kremlin sources and just washed it through an intermediary, Christopher Steele.”  Jesse Waters",82303,21796
2018-09-01,"....positions of power. That’s part of the story of the Russia Hoax. Christopher Steele is on the payroll of Hillary Clinton &amp; the FBI, &amp; when they fired him for lying, they continued to use him. Violation of FBI regulations. Kept trying to verify the unverifiable.” @GreggJarrett",64062,16737
2018-09-01,"“There’s no fairness here, if you’re a Democrat or a friend of Hillary you get immunity or off scott free. If you’re connected to Donald Trump, you get people like Robert Mueller &amp; Andrew Weissman, and his team of partisans, coming after you with a vengeance and abusing their....",94930,25222
2018-09-01,We shouldn’t have to buy our friends with bad Trade Deals and Free Military Protection!,108564,25466
2018-09-01,MAKE AMERICA GREAT AGAIN!,179030,44716
2018-09-01,"....Remember, NAFTA was one of the WORST Trade Deals ever made. The U.S. lost thousands of businesses and millions of jobs. We were far better off before NAFTA - should never have been signed. Even the Vat Tax was not accounted for. We make new deal or go back to pre-NAFTA!",81834,19897
2018-09-01,"There is no political necessity to keep Canada in the new NAFTA deal. If we don’t make a fair deal for the U.S. after decades of abuse, Canada will be out. Congress should not interfere w/ these negotiations or I will simply terminate NAFTA entirely &amp; we will be far better off...",105878,25964
2018-09-01,"....Donald Trump, and now we find out that there wasn’t even a hearing - that Donald Trump’s 4th Amendment right to privacy was signed away...and someone in there is swearing that this stuff is true, when it wasn’t? This is the scandal here - a police state.”  Dan Bongino",85198,23776
2018-09-01,"“You have a Fake Dossier, gathered by Steele, paid by the Clinton team to get information on Trump. The Dossier is Fake, nothing in it has been verified. It then filters into our American court system in order to spy on Barrack Obama and Hillary Clinton’s political opponent......",82807,22638
2018-09-01,....of the DOJ &amp; FBI are completely out to lunch in terms of exposing and holding those accountable who are responsible for that corruption.” @TomFitton @JudicialWatch,59478,15511
2018-09-01,"Report: There were no FISA hearings held over Spy documents.”It is astonishing that the FISA courts couldn’t hold hearings on Spy Warrants targeting Donald Trump. It isn’t about Carter Page, it’s about the Trump Campaign. You’ve got corruption at the DOJ &amp; FBI. The leadership....",72583,19882
2018-09-01,"I love Canada, but they’ve taken advantage of our Country for many years!",85182,17360
2018-09-01,“I think today what has happened is that news reporting has become part of the adversary system.” Alan Dershowitz  It has become tainted and corrupt! DJT,70989,17469
2018-08-31,Still can’t believe that Bloomberg violated a firm OFF THE RECORD statement. Will they put out an apology?,76453,16786
2018-08-31,Great day in North Carolina where Republicans will do very well!,63580,11739
2018-08-31,"The ABC/Washington Post Poll was by far the least accurate one 2 weeks out from the 2016 Election. I call it a suppression poll - but by Election Day they brought us, out of shame, to about even. They will never learn!",66887,14813
2018-08-31,.@Rasmussen_Poll just came out at 48% approval rate despite the constant and intense Fake News. Higher than Election Day and higher than President Obama. Rasmussen was one of the most accurate Election Day polls!,84852,20407
2018-08-31,https://t.co/c79zLeREOA,61923,15267
2018-08-31,“President Donald J. Trump is Strengthening Retirement Security for American Workers” https://t.co/cKeATuKXDe,57470,14361
2018-08-31,"Wow, I made OFF THE RECORD COMMENTS to Bloomberg concerning Canada, and this powerful understanding was BLATANTLY VIOLATED. Oh well, just more dishonest reporting. I am used to it. At least Canada knows where I stand!",120149,27245
2018-08-31,"I will be doing a major rally for Senator Ted Cruz in October. I’m picking the biggest stadium in Texas we can find. As you know, Ted has my complete and total Endorsement. His opponent is a disaster for Texas - weak on Second Amendment, Crime, Borders, Military, and Vets!",122545,32602
2018-08-30,"Thank you Indiana, I love you!
https://t.co/To6s9ViMj1",85409,20330
2018-08-30,Throwback Thursday! #MAGA https://t.co/8slzITa1l6,98414,27509
2018-08-30,"Kevin Stitt ran a great winning campaign against a very tough opponent in Oklahoma. Kevin is a very successful businessman who will be a fantastic Governor. He is strong on Crime &amp; Borders, the 2nd Amendment, &amp; loves our Military &amp; Vets. He has my complete and total Endorsement!",72708,17056
2018-08-30,CNN is working frantically to find their “source.” Look hard because it doesn’t exist. Whatever was left of CNN’s credibility is now gone!,129711,33057
2018-08-30,"Will be going to Evansville, Indiana, tonight for a big crowd rally with Mike Braun, a very successful businessman who is campaigning to be Indiana’s next U.S. Senator. He is strong on Crime &amp; Borders, the 2nd Amendment, and loves our Military &amp; Vets. Will be a big night!",79369,18958
2018-08-30,"I am very excited about the person who will be taking the place of Don McGahn as White House Counsel! I liked Don, but he was NOT responsible for me not firing Bob Mueller or Jeff Sessions. So much Fake Reporting and Fake News!",62373,14287
2018-08-30,"The Rigged Russia Witch Hunt did not come into play, even a little bit, with respect to my decision on Don McGahn!",59846,12879
2018-08-30,"Wow, Nellie Ohr, Bruce Ohr’s wife, is a Russia expert who is fluent in Russian. She worked for Fusion GPS where she was paid a lot. Collusion! Bruce was a boss at the Department of Justice and is, unbelievably, still there!",88497,26677
2018-08-30,The only thing James Comey ever got right was when he said that President Trump was not under investigation!,71559,16909
2018-08-30,"Ivanka Trump &amp; Jared Kushner had NOTHING to do with the so called “pushing out” of Don McGahn.The Fake News Media has it, purposely,so wrong! They love to portray chaos in the White House when they know that chaos doesn’t exist-just a “smooth running machine” with changing parts!",77362,18604
2018-08-30,"The news from the Financial Markets is even better than anticipated. For all of you that have made a fortune in the markets, or seen your 401k’s rise beyond your wildest expectations, more good news is coming!",81106,18682
2018-08-30,"I just cannot state strongly enough how totally dishonest much of the Media is. Truth doesn’t matter to them, they only have their hatred &amp; agenda. This includes fake books, which come out about me all the time, always anonymous sources, and are pure fiction. Enemy of the People!",127460,31486
2018-08-30,"What’s going on at @CNN is happening, to different degrees, at other networks - with @NBCNews being the worst. The good news is that Andy Lack(y) is about to be fired(?) for incompetence, and much worse. When Lester Holt got caught fudging my tape on Russia, they were hurt badly!",72097,18794
2018-08-30,"The hatred and extreme bias of me by @CNN has clouded their thinking and made them unable to function. But actually, as I have always said, this has been going on for a long time. Little Jeff Z has done a terrible job, his ratings suck, &amp; AT&amp;T should fire him to save credibility!",100432,23879
2018-08-29,Watch: Kanye West Says Trump Wants to Be the ‘Greatest President’ for Black Americans https://t.co/ECxTzVNZeG via @BreitbartNews,72895,21009
2018-08-29,"...charge of the FISA court. He should direct the Presiding Judge, Rosemary Collier, to hold a hearing, haul all of these people from the DOJ &amp; FBI in there, &amp; if she finds there were crimes committed, and there were, there should be a criminal referral by her....” @GreggJarrett",71001,20376
2018-08-27,".@FLOTUS Melania and I were honored to welcome the President of the Republic of Kenya, @UKenyatta and Mrs. Margaret Kenyatta to the @WhiteHouse today! https://t.co/ZU5MovNKt8",71865,16696
2018-08-29,"“Ohr told the FBI it (the Fake Dossier) wasn’t true, it was a lie and the FBI was determined to use it anyway to damage Trump and to perpetrate a fraud on the court to spy on the Trump campaign. This is a fraud on the court. The Chief Justice of the U.S. Supreme Court is in......",73640,21613
2018-08-29,"“Lanny Davis admits being anonymous source in CNN Report.” @BretBaier  Oh well, so much for CNN saying it wasn’t Lanny. No wonder their ratings are so low, it’s FAKE NEWS!",84450,22281
2018-08-29,"CNN is being torn apart from within based on their being caught in a major lie and refusing to admit the mistake. Sloppy @carlbernstein, a man who lives in the past and thinks like a degenerate fool, making up story after story, is being laughed at all over the country! Fake News",116668,30800
2018-08-29,"...differences, they will be resolved in time by President Trump and China’s great President Xi Jinping. Their relationship and bond remain very strong.",48143,10746
2018-08-29,"...of money on joint U.S.-South Korea war games. Besides, the President can instantly start the joint exercises again with South Korea, and Japan, if he so chooses. If he does, they will be far bigger than ever before. As for the U.S.–China trade disputes, and other...",45247,10314
2018-08-29,"...considerable aid, including money, fuel, fertilizer and various other commodities. This is not helpful! Nonetheless, the President believes that his relationship with Kim Jong Un is a very good and warm one, and there is no reason at this time to be spending large amounts...",33044,9066
2018-08-29,"STATEMENT FROM THE WHITE HOUSE

President Donald J. Trump feels strongly that North Korea is under tremendous pressure from China because of our major trade disputes with the Chinese Government. At the same time, we also know that China is providing North Korea with...",61533,15908
2018-08-29,#StopTheBias https://t.co/xqz599iQZw,108524,40232
2018-08-29,How the hell is Bruce Ohr still employed at the Justice Department? Disgraceful!  Witch Hunt!,102092,26277
2018-08-29,"Consumer Confidence Index, just out, is the HIGHEST IN 18 YEARS! Also, GDP revised upward to 4.2 from 4.1. Our country is doing great!",80858,20819
2018-08-29,"White House Counsel Don McGahn will be leaving his position in the fall, shortly after the confirmation (hopefully) of Judge Brett Kavanaugh to the United States Supreme Court. I have worked with Don for a long time and truly appreciate his service!",61675,12776
2018-08-29,"Martha McSally is an extraordinary woman. She was a very talented fighter jet pilot and is now a highly respected member of Congress. She is Strong on Crime, the Border and our  under siege 2nd Amendment. Loves our Military and our Vets. Has my total and complete Endorsement!",61740,14062
2018-08-29,"When you see “anonymous source,” stop reading the story, it is fiction!",149284,38318
2018-08-29,“Anonymous Sources are really starting to BURN the media.” @FoxNews The fact is that many anonymous sources don’t even exist. They are fiction made up by the Fake News reporters. Look at the lie that Fake CNN is now in. They got caught red handed! Enemy of the People!,104349,29346
2018-08-29,"Big Election Wins last night! The Republican Party will MAKE AMERICA GREAT AGAIN! Actually, it is happening faster than anybody thought possible! It is morphing into KEEP AMERICA GREAT!",75088,17994
2018-08-29,“Hillary Clinton and the DNC paid for information from the Russian government to use against her government - there’s no doubt about that!” @TuckerCarlson,71583,20231
2018-08-29,“The Obama people did something that’s never been done...They spied on a rival presidential campaign. Would it be OK if Trump did it next? I am losing faith that our system is on the level. I’m beginning to think it is rotten &amp; corrupt. Scary stuff Obama did.” @TuckerCarlson  DOJ,85029,26130
2018-08-29,"Not only did Congressman Ron DeSantis easily win the Republican Primary, but his opponent in November is his biggest dream....a failed Socialist Mayor named Andrew Gillum who has allowed crime &amp; many other problems to flourish in his city. This is not what Florida wants or needs!",72620,18804
2018-08-29,"Martha McSally, running in the Arizona Primary for U.S. Senate, was endorsed by rejected Senator Jeff Flake....and turned it down - a first! Now Martha, a great U.S. Military fighter jet pilot and highly respected member of Congress, WINS BIG. Congratulations, and on to November!",69468,15079
2018-08-29,"Hillary Clinton’s Emails, many of which are Classified Information, got hacked by China. Next move better be by the FBI &amp; DOJ or, after all of their other missteps (Comey, McCabe, Strzok, Page, Ohr, FISA, Dirty Dossier etc.), their credibility will be forever gone!",99415,31077
2018-08-28,New Poll - A majority of Americans think that John Brennan and James Comey should have their Security Clearances Revoked. Not surprised! @FoxNews,102379,24006
2018-08-28,"Our new Trade Deal with Mexico focuses on FARMERS, GROWTH for our country, tearing down TRADE BARRIERS, JOBS and having companies continue to POUR BACK INTO OUR COUNTRY. It will be a big hit!",79664,18871
2018-08-28,Add the 2026 World Cup to our long list of accomplishments!,96361,18036
2018-08-28,"Report just out: “China hacked Hillary Clinton’s private Email Server.” Are they sure it wasn’t Russia (just kidding!)? What are the odds that the FBI and DOJ are right on top of this? Actually, a very big story. Much classified information!",124585,37225
2018-08-28,Congratulations to Governor Rick Scott of Florida on his conclusive Republican Primary Win. He will be a great Senator!,71968,15629
2018-08-28,Such a fantastic win for Ron DeSantis and the people of the Great State of Florida. Ron will be a fantastic Governor. On to November!,81778,18593
2018-08-28,https://t.co/H2FiSVxyOF,54644,12540
2018-08-28,“Consumer confidence pops in August to highest level since October 2000” https://t.co/1Gg5IOtbNa,64583,16658
